,trackid,text,title
0,TRMHHRK128F932A818,nick lowe men liars men men liars word n't worth wear tire hey girls bring rusty pliers pull tooth men liars truth well remember rick astley big fat hit ghastly say never gon give let well tell dick clown though boy make vow bet know men men liars word n't worth wear tire hey girls bring rusty pliers pull tooth men liars truth among god creatures man must slimy slippery stand naked ape monkey suit behind little moustache grow shifty brute one start choke word eat sweat get stories straight men men liars word n't worth wear tire hey girls bring rusty pliers pull tooth men liars truth men men liars word n't worth wear tire hey girls bring rusty pliers pull tooth men liars men liars men liars men liars truth,All Men Are Liars
1,TRMCMYP128F145BC3D,beastie boys maestro cory kiss ass n't interest anyhow interest b-boys fuck man yeah man come block see funk walk 'cause doin like today day yeah get nice get keep movin n't say nothing keep bouncin bumpin struttin one thing ought know well maestro yeah motherfuckers see lookin sayin skinny live phat know 'cause maestro yeah know get feel like rufus thomas crown prince dance mike know romance crazy baldhead part side rid block like water slide 'cause type day feel like press luck 'cause get nothing lose 'cause n't give fuck see player play n't play win play show yeah maestro yeah need everybody cooperation right like find whose favorite detective mannix barnaby jones somebody say columbo yeah micky mahoney clancy claranin barnaby jones say already yeah right 'll know get shit see n't america want america mackin right people oughta call mockin get stoppin man man man maestro three cheer maestro,The Maestro
2,TRMFCNV128F92E8B76,incubus nice know better watch geller bend silver spoon better witness newborn nebulas bloom see high smile surely sing perspective pry weighty eye give wing n't felt way feel today long hard specify begin notice much feel like wake limb pin needle nice know goodbye nice know goodbye nice know goodbye nice know goodbye nice know know deeper deepest cousteau would ever higher heights often think know bless clearly see wood tree obtain bird eye turn blizzard breeze n't felt way feel today long hard specify begin notice much feel like wake limb pin needle nice know goodbye nice know goodbye nice know goodbye nice know goodbye nice know know ... could along n't felt way feel today long hard specify begin notice much feel like wake limb pin needle nice know goodbye nice know goodbye nice know goodbye nice know goodbye nice know know ...,Nice To Know You
3,TRMQIPU128F4289418,foo fighters big talk carry reason know talk aries treasons renew big talk could stand prove get around know true talk carry reason know fell talk carry reason know talk aries treasons renew big talk could stand prove get around know true well talk put never true fell fell fell,Big Me
4,TRMAACY128F92D8195,wolfsheim lifetime get dark soon threaten silence surround wind come islands distance fade stormy grey wash deep ocean stand face wrath others pray calm heart n't beat fast n't afraid lifetime calm heart n't beat fast n't afraid lifetime rain wash away tear wind soothe pain make doubt make fear take wife unborn son tear deep ocean n't pretend love cause nothing leave lose silence come back find feel lonely stand shore destiny find feel lonely life give many dream live n't know 're lose much time beyond wave free others pray calm heart love burn lesson learn sound hear feel n't feel calm heart n't beat fast n't afraid lifetime n't pretend love time scar,Once In A Lifetime
5,TRMNYZQ128F1459E10,shania twain nah ooh yeah oooooh yeah yeah yeah ooh think might begin fillin case n't already know 'll never forget get leave fact downright pretty low n't way wan know n't gon take back n't even try beg plead sweat bleed bad could care cry yeah thats fun ball good last past sure sweet sure sweep feet miss would nah n't find naked cold justa sittin doctor table waitin tell justa longer able feel heart beatin give good reason kinda numb around time tell movin say gon phone long n't nothin wrong line late regret 're one say 're better bein apart hate downer n't bother comin 'round 'cause n't change heart change heart yeah fun ball good last past sure sweet sure sweep feet miss would nah n't find naked cold justa sittin doctor table waitin tell justa longer able feel heart beatin give good reason kinda numb around time tell movin say gon phone long n't nothin wrong line nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah hey yea yea yeah well hope learn lesson 'cause 'll never messin head way never gon work much jerk finally feed yeah fun ball good last past sure sweet sure sweep feet miss would nah n't find naked cold justa sittin doctor table waitin tell just-a longer able feel heart beatin give good reason kinda numb around time tell movin say gon phone long n't nothin wrong line nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah nah ooioh nah nah,Nah!
6,TRMLBEG128F42BA124,metallica one n't remember anything n't tell true dream deep inside feel scream terrible silence stop war wake see much leave nothing real pain hold breath wish death please god wake back womb much real pump life must feel n't look forward reveal look time 'll live feed tube stick like wartime novelty tie machine make cut life hold breath wish death please god wake world one god help hold breath wish death please god help darkness imprison see absolute horror live die trap body hold cell landmine take sight take speech take hear take arm take legs take soul leave life hell,One
7,TRMEBYQ128F932FEFF,britney spear toxic baby n't see call guy like wear warn dangerous fall escape n't wait need hit baby give 're dangerous love high n't come lose head spinnin 'round 'round feel taste lips ride 're toxic slippin taste poison paradise addict n't know 're toxic love n't know 're toxic get late give take sip devil cup slowly take high n't come air around feel taste lips ride 're toxic slippin taste poison paradise addict n't know 're toxic love n't know 're toxic n't know 're toxic taste lips ride 're toxic slippin taste poison paradise addict n't know 're toxic taste lips ride 're toxic slippin taste poison paradise addict n't know 're toxic intoxicate lovin think ready think ready intoxicate lovin think ready,Toxic
8,TRMEEIY12903CAC43C,two door cinema club undercover martyn speak word would melt hand speak word wisdom basement people basement many surprise await basement people basement hide last time know 're gon find sick cars seat 'cause 're main streets complete mission hide last time know 're gon find sick cars seat 'cause 're main streets complete mission speak word would melt hand speak word wisdom basement people basement many surprise await basement people basement hide last time know 're gon find sick cars seat 'cause 're main streets complete mission hide last time know 're gon find sick cars seat 'cause 're main streets complete mission hide last time know 're gon find sick cars seat 'cause 're main streets complete mission hide last time know 're gon find sick cars seat 'cause 're main streets complete mission,Undercover Martyn
9,TRMJXVS12903CACEDC,leona lewis forgive first time everything definitely one nights know look eye gon trouble never want lie know baby would cry know love n't pass test get get somewhere else well need man hope understand forgive baby get take chance tonight n't wait sit alone man really hope hope forgive hope forgive hope forgive n't wait man really hope hope forgive long time since something good put hell wan finally find somebody else really want make feel things 've miss long love always pass test shame look somewhere else well need man hope understand forgive baby get take chance tonight n't wait sit alone man really hope hope forgive hope forgive hope forgive n't wait man really hope hope forgive forgive need love forgive n't wait around forgive find man understand need forgive need love forgive n't wait around forgive find man understand forgive baby get take chance tonight n't wait sit alone man really hope hope forgive hope forgive hope forgive n't wait man really hope hope forgive get take chance tonight n't wait sit alone man really hope hope forgive,Forgive Me
