,userid,playcounts,trackid
0,fd50c4007b68a3737fe052d5a4f78ce8aa117f3d,1,TRAEHHJ12903CF492F
1,c34670d9c1718361feb93068a853cead3c95b76a,1,TRAEHHJ12903CF492F
2,c5006d9f41f68ccccbf5ee29212b6af494110c5e,1,TRAEHHJ12903CF492F
3,e4332e11f4df6dd26673bb6b085e9a2bbdc9b8a5,2,TRAEHHJ12903CF492F
4,baf2fe5885ab93fbbdb7fecc6691788e70afb6c8,4,TRAEHHJ12903CF492F
5,f6e34f0a68d5ea1344511e33486f956de361db78,1,TRAEHHJ12903CF492F
6,e326c4b9fe3659ec1dc3af53fd7e0893809dafbc,25,TRAEHHJ12903CF492F
7,00f7c493ee64884998ea98d9f5bed87bc4a0afcf,5,TRAEHHJ12903CF492F
8,daa9e7e53ae787ab4f1b5518b695198947d821a2,1,TRAEHHJ12903CF492F
9,cd4321d8fd42ba44996e7f34c2f6404cf5884696,1,TRAEHHJ12903CF492F
10,bcb1e6d620cf522390d5c92bae26936928e0b588,26,TRAEHHJ12903CF492F
11,3d28488a659d1cacc598d17074b233985271c65e,2,TRAEHHJ12903CF492F
12,eead1f1e3ad91575346f9ce826ddaea19bff80ed,4,TRAEHHJ12903CF492F
13,07260aa795b86382fbddea37b7b8f6f7d5a1db0a,53,TRAEHHJ12903CF492F
14,4fbde29be137e7179046c148f9e15db17c3278be,1,TRAEHHJ12903CF492F
15,ed199f27a41066e37414c3fe9eefb2ae372b8819,5,TRAEHHJ12903CF492F
16,b6fe63bd640050b922bda5e4ec36d110b878be8a,40,TRAEHHJ12903CF492F
17,93d158458cbf375218ae7de7fd428bf94cc1491e,1,TRAEHHJ12903CF492F
18,c1d24ce8cd80e40aa8d803d5ddfceb91a6b5d75d,1,TRAEHHJ12903CF492F
19,c48985d93d590dff33d20094eebc863b0cb455e8,1,TRAEHHJ12903CF492F
20,2c73578c7dfc715b7cf61723ce3524e427d3c97b,12,TRAEHHJ12903CF492F
21,7d7e3d90179d121336bbaefdd2603121c6ca33ac,2,TRAEHHJ12903CF492F
22,5f3cd0eac9cdeb89958e3927f0f7b230ada8a24f,72,TRAEHHJ12903CF492F
23,68caf48b3c45756c519f8647d2d7014be2da8f7f,2,TRAEHHJ12903CF492F
24,d035c0e57b265605c106c9aaafaf17dc2eaf85f3,10,TRAEHHJ12903CF492F
25,42a5bf49090c54935836876d1bb01c146d956a20,1,TRAEHHJ12903CF492F
