,trackid,artistname,title,lyrics
0,TRHTCXG12903CC2F60,3 Doors Down,Kryptonite,"I took a walk around the world To ease my troubled mind I left my body lying somewhere In the sands of time But I watched the world float To the dark side of the moon  I feel there is nothing I can do, yeah  I watched the world float To the dark side of the moon After all I knew it had to be Something to do with you I really don't mind what happens now and then As long as you'll be my friend at the end  If I go crazy then will you still Call me Superman If I'm alive and well, will you be There a-holding my hand I'll keep you by my side With my superhuman might Kryptonite  You called me strong, you called me weak But still your secrets I will keep You took for granted all the times I never let you down You stumbled in and bumped your head If not for me then you'd be dead I picked you up and put you back on solid ground  If I go crazy then will you still Call me Superman If I'm alive and well Will you be there a-holding my hand I'll keep you by my side With my superhuman might Kryptonite  If I go crazy then will you still Call me Superman If I'm alive and well, will you be there Holding my hand I'll keep you by my side With my superhuman might Kryptonite Yeah!!  If I go crazy then will you still Call me Superman If I'm alive and well Will you be there a-holding my hand I'll keep you by my side With my superhuman might Kryptonite  Oh, whoa, whoa Oh, whoa, whoa Oh, whoa, whoa"
1,TRRHGFY12903CD2DC8,Justin Bieber,Somebody To Love,"For you, I'd write a symphony  I'd tell the violin It's time to sink or swim Watch them play for ya For you, I'd be Running a thousand miles Just to get to where you are Step to the beat of my heart I don't need a whole lot But for I admit I I'd rather give you the world Or we can share mine I know I won't be the first one Giving you all this attention Baby listen I just need somebody to love I, I don't need too much Just somebody to love Somebody to love I don't need anything else, I promise, girl, I swear I just need somebody to love I need somebody I, I need somebody I need somebody I, I need somebody Every day I bring the sun around I sweep away the clouds Smile for me I would take Every seconds, every single time Spend it like my last dime Step to the beat of my hear I don't need a whole lot But for you I admit I I rather give you the world Or we can share mine I know I won't be the first one Givin' you all this attention Baby listen I just need somebody to love I, I don't need to much, just somebody to love Somebody to love I don't need nothing else, I promise, girl, I swear I just need somebody to love I need somebody I, I need somebody I need somebody I, I need somebody to love And you can have it all Anything you want I can bring; give you the finer things, yeah But what I really want I can't find cause Money can't find me Somebody to love (oh oh) Find me somebody to love I need somebody to love I, I don't need too much Just somebody to love Somebody to love I don't need nothing else, I promise, girl, I swear I just need somebody to love I need somebody I, I need somebody I need somebody I, I need somebody Somebody to love I need somebody I, I need somebody I need somebody I, I need somebody I need somebody I, I need somebody I need somebody I, I need somebody I need somebody to love To love, to love Is she out there I just need somebody to love"
2,TRRUVLO128F92DE6F7,La Roux,Bulletproof,"Been there, done that messed around I'm having fun, don't put me down I'll never let you sweep me off my feet  I won't let you in again The messages I tried to send My information's just not going in  Burning bridges shore to shore I break away from something more I'm not turned on to love until it's cheap  Been there, done that messed around I'm having fun, don't put me down I'll never let you sweep me off my feet  This time, baby, I'll be bulletproof This time, baby, I'll be bulletproof  I won't let you turn around And tell me now, I'm much too proud To walk away from something when it's dead  Do, do, do your dirty words Come out to play when you are hurt? There's certain things that should be left unsaid  Tick, tick, tick, tick on the watch And life's too short for me to stop Oh baby, your time is running out  I won't let you turn around And tell me now I'm much too proud All you do is fill me up with doubt  This time, baby, I'll be bulletproof This time, baby, I'll be bulletproof This time, baby, I'll be bulletproof This time, baby, I'll be bulletproof  This time I'll be bulletproof This time I'll be bulletproof  This time, baby, I'll be bulletproof This time, baby, I'll be bulletproof This time, baby, I'll be bulletproof This time, baby, I'll be bulletproof"
3,TRBZGSM128E078EDB4,Eminem,Without Me,"Obie Trice, real name no gimmicks  Two trailer park girls go round the outside Round the outside, round the outside  Two trailer park girls go round the outside Round the outside, round the outside  Guess who's back Back again Shady's back Tell a friend Guess who's back, guess who's back Guess who's back, guess who's back Guess who's back, guess who's back Guess who's back  I've created a monster 'Cause nobody wants to see Marshall no more They want Shady, I'm chopped liver Well if you want Shady, this is what I'll give you A little bit of weed mixed with some hard liquor Some vodka that'll jump start my heart quicker Than a shock when I get shocked at the hospital By the doctor when I'm not co-operating When I'm rockin' the table while he's operating You waited this long, now stop debating 'Cause I'm back, I'm on the rag and ovulating I know that you got a job, Ms. Cheney But your husband's heart problem's complicating So the FCC won't let me be Or let me be me, so let me see They try to shut me down on MTV But it feels so empty, without me So, come on and dip, bum on your lips fuck that, cum on your lips, and some on your tits And get ready, 'cause this shit's about to get heavy I just settled all my lawsuits, fuck you Debbie!  Now this looks like a job for me So everybody, just follow me 'Cause we need a little, controversy 'Cause it feels so empty, without me  I said ""This looks like a job for me"" So everybody, just follow me 'Cause we need a little, controversy 'Cause it feels so empty, without me  Little Hellions, kids feelin' rebellious Embarrassed their parents still listen to Elvis They start feelin' like prisoners helpless 'Til someone comes along on a mission and yells, bitch! A visionary, vision of scary Could start a revolution, pollutin' the airwaves A rebel, so just let me revel and bask In the fact that I got everyone kissin' my ass And it's a disaster, such a catastrophe For you to see so damn much of my ass You asked for me? Well I'm back Na-na-na-na-na-na-na-na-na-na  Fix your bent antenna tune it in and then I'm gonna Enter in, endin' up under your skin like a splinter The center of attention, back for the winter I'm interesting, the best thing since wrestling Infesting in your kid's ears and nesting Testing, attention please Feel the tension, soon as someone mentions me Here's my ten cents, my two cents is free A nuisance, who sent? You sent for me? Now this looks like a job for me So everybody, just follow me 'Cause we need a little, controversy 'Cause it feels so empty, without me I said, ""This looks like a job for me"" So everybody, just follow me 'Cause we need a little, controversy 'Cause it feels so empty, without me A-tisket a-tasket, I go tit for tat with Anybody who's talkin' this shit, that shit Chris Kirk Patrick, you can get your ass kicked Worse than them little Limp Bizkit bastards And Moby? You can get stomped by Obie You thirty-six year old baldheaded fag, blow me You don't know me, you're too old, let go It's over, nobody listen to techno Now let's go, just gimme the signal I'll be there with a whole list full of new insults I been dope, suspenseful with a pencil Ever since Prince turned himself into a symbol But sometimes the shit just seems Everybody only wants to discuss me So this must mean I'm disgusting But it's just me, I'm just obscene No I'm not the first king of controversy I am the worst thing since Elvis Presley To do black music so selfishly And used it to get myself wealthy There's a concept that works Twenty million other white rappers emerge But no matter how many fish in the sea It'll be so empty, without me  Now this looks like a job for me So everybody, just follow me 'Cause we need a little, controversy 'Cause it feels so empty, without me  I said ""This looks like a job for me"" So everybody, just follow me 'Cause we need a little, controversy 'Cause it feels so empty, without me  Kids!"
4,TRQFXKD128E0780CAE,Coldplay,The Scientist,"Come up to meet you, tell you I'm sorry You don't know how lovely you are I had to find you, tell you I need you  Tell you I set you apart Tell me your secrets and ask me your questions Oh, let's go back to the start  Running in circles, coming up tails Heads on a science apart Nobody said it was easy  It's such a shame for us to part Nobody said it was easy No one ever said it would be this hard  Oh, take me back to the start I was just guessing at numbers and figures Pulling the puzzles apart Questions of science, science and progress  Do not speak as loud as my heart  But tell me you love me, come back and haunt me Oh and I rush to the start Running in circles, chasing our tails  Coming back as we are Nobody said it was easy Oh, it's such a shame for us to part Nobody said it was easy No one ever said it would be so hard I'm going back to the start Oh ooh, ooh ooh ooh ooh Ah ooh, ooh ooh ooh ooh Oh ooh, ooh ooh ooh ooh Oh ooh, ooh ooh ooh ooh"
5,TRZJNDO128EF343498,Angels and Airwaves,The Gift,"There's a strangest excitement today If you're awake then you're welcome to hear I've got a gift and it blew me a way From the far eastern sea straight to here Oh God I feel like I'm in for it now Its like the rush has gone straight to my brain But my voice is as lonely as loud As I whisper a joy of this pain.  And suddenly You've done it all You won me over In no time at all.  And now I'll stop the storm if it rains I'll light a path far from here I'll make your fear melt away And the world we know will disappear.  If you ask I will do what you say All we have is this night to get through With the cheeks to the smile your only You left me all up in arms and confused Oh God I feel like I'm in for it now And how this kiss will be one roughly vague I swear I'll melt if you touch me at all But then I'll ask you to do it again, and again.  And suddenly You've done it all You won me over In no time at all.  And now I'll stop the storm if it rains I'll light a path far from here I'll make your fear melt away And the world we know will disappear I'll stop the storm if it rains I'll light a path far from here I'll make your fear melt away And the world we know will disappear.  Oh, oh oh, oh oh, oh oh, yo-oh. Oh, oh oh, oh oh, oh oh, yo-oh. Oh, oh oh, oh oh, oh oh, yo-oh. Oh, oh oh, oh oh, oh oh, yo-oh.  And now, I'll stop the storm if it rains I'll light a path far from here I'll make your fear melt away And the world we know will disappear I'll stop the storm if it rains I'll light a path far from here I'll make your fear melt away And the world we know will disappear.  Make the world we know disappear. Make the world we know disappear.  Oh, oh oh, oh oh, oh oh, yo-oh. Oh, oh oh, oh oh, oh oh, yo-oh. Oh, oh oh, oh oh, oh oh, yo-oh. Oh, oh oh, oh oh, oh oh, yo-oh."
6,TRIEXMF128F92FDD60,Kings Of Leon,Use Somebody,"I've been roaming around always looking down and all I see Painted faces fill the places I can't reach  You know that I could use somebody You know that I could use somebody  Someone like you and all you know and how you speak  Countless lovers undercover of the street You know that I could use somebody  You know that I could use somebody Someone like you (ooo, ooo) (ooo, ooo)  (ooo, ooo) Off in the night while you live it up I'm off to sleep  Waging wars to shape the poet and the beat I hope it's gonna make you notice I hope it's gonna make you notice  Someone like me Someone like me Someone like me, somebody Im ready now I'm ready now I'm ready now I'm ready now Someone like you, somebody Someone like you, somebody Someone like you, somebody I've been roaming around always looking down and all I see"
7,TRIXAZF128F421EE64,Tub Ring,Invalid,"I Don't Believe That We Can Conceive Of An Afterlife That's Meant To Be Perceived Catastrophes, Calamities, Catastrophe Everyone Loves A Tragedy  But There's Guns, There's Guns Guns Guns Pointed At Our Head Every Time We Close Our Eyes But What Are We, Little Folk To Do About This Bakery Full Of Lies  We Don't Need No One To Turn Out The Lights For Us When We Go To Sleep Catastrophes, Calamities In Our Dreams  When We Dream We Like To Dream About Tragedy And Afterlife A Perceived Reality, A Tragedy, A Catastrophe  Seems My Life Is Only Just Pretend And Dreams Are Only What You Make Of Them  And Themes Are Reoccurring So Often If I Were Wise I'd See A Trend   We Don't Need No One To Turn Out The Lights For Us  Arguing Things That Have Never Been Said The Mail Was Empty, The Books Were Unread   Progress Hindered By Arrogance Inquiries Made In Present Tense Future Stars Will Be Twice As Dense As Ours Twice As Dense As Ours  Repetition Shoved Down My Throat Answers Given By Anecdote Crueler Sonnets Were Never Wrote At All Never Wrote At All  And It Seems My Life Is Only Just Pretend And Dreams Are Only What You Make Of Them And Themes Are Reoccurring So Often If I Were Wise I'd See A Trend  One, Two, Three, Four  Progress Hindered By Arrogance Inquiries Made In Present Tense Future Stars Will Be Twice As Dense As Ours Twice As Dense As Ours  We Don't Need No One To Turn Out The Lights For Us  Arguing Things That Have Never Been Said The Mail Was Empty, The Books Were Unread   We Don't Need No One To Turn Out The Lights For Us How Can You Sleep At A Time Like This The Answer Was Pointless, The Question Amiss To Err While Conscious The Words A Mistake How Can I Afford To Stay Awake"
8,TRIKGRK128E0780DB0,Coldplay,Yellow,"Look at the stars Look how they shine for you  And everything you do Yeah, they were all yellow  I came along I wrote a song for you  And all the things you do And it was called ""Yellow""  So, then, I took my turn Oh, what a thing to've done  And it was all yellow Your skin  Oh, yeah, your skin and bones Turn it into something beautiful  And you know  You know I love you so You know I love you so  I swam across  I jumped across for you Oh, what a thing to do  Cause you were all yellow I drew a line  I drew a line for you Oh, what a thing to do  And it was all yellow Your skin  Oh, yeah, your skin and bones Turn into something beautiful And you know For you, I'd bleed myself dry For you, I'd bleed myself dry It's true Look how they shine for you Look how they shine for you Look how they shine for Look how they shine for you Look how they shine for you Look how they shine Look at the stars Look how they shine for you And all the things that you do."
9,TRAALAH128E078234A,The Verve,Bitter Sweet Symphony,"'Cause it's a bitter sweet symphony, this life Trying to make ends meet, you're a slave to the money then you die I'll take you down the only road I've ever been down You know the one that takes you to the places where all the veins meet, yeah No change, I can change, I can change, I can change But I'm here in my mould, I am here in my mould  But I'm a million different people from one day to the next I can't change my mould, no, no (have you ever been down?) no, no Well, I've never prayed But tonight I'm on my knees, yeah I need to hear some sounds that recognize the pain in me, yeah I let the melody shine, let it cleanse my mind, I feel free now But the airwaves are clean and there's nobody singing to me now No change, I can change, I can change, I can change  But I'm here in my mould, I am here in my mould And I'm a million different people from one day to the next I can't change my mould, no, no, no, no, no Have you ever been down? I can't change it you know, I can't change it  'Cause it's a bitter sweet symphony this life Trying to make ends meet, trying to find some money then you die I'll take you down the only road I've ever been down You know the one that takes you to the places where all the veins meet, yeah You know I can change, I can change, I can change, I can change But I'm here in my mould, I am here in my mould And I'm a million different people from one day to the next I can't change my mould, no, no, no, no, no I can't change my mould, no, no, no, no, no I can't change my mould, no, no, no, no, no  You've gotta change my mould, no, no, no (It's just sex and violence, melody and silence) (Gotta, can't change my violence, melody and silence) (Gotta, can't change my violence, melody and silence) (I'll take you down the only road I've ever been down) (Gotta, can't change my violence, melody and silence)  (I'll take you down the only road I've ever been down) (Gotta, can't change my violence, melody and silence) (Been down) (Ever been down) (Can't change my violence, melody and silence) (Ever been down) (Ever been down) (Ever been down) (Have you ever been down?) (Have you ever been down?) (Have you ever been down?) (Have you ever been down?) (Have you ever been down?)"
